old_url,new_url,status,reason,tested
https://toromovers.net/*,https://toromovers.com/:splat,301,host_legacy,yes
https://www.toromovers.com/*,https://toromovers.com/:splat,301,www_to_apex,yes
https://toromudanzas.com/*,https://toromovers.com/?utm_source=toromudanzas&utm_medium=redirect,301,spanish_brand,yes
https://go.toromovers.net/*,https://toromovers.com/full-service-moving,301,ads_host,yes
https://toromoveit.com/*,https://toromovers.com/full-service-moving,301,ads_host,yes
/movers-orlando,/orlando-movers,301,legacy_city_slug,yes
/movers-lake-mary,/lake-mary-movers,301,legacy_city_slug,yes
/movers-winter-park,/winter-park-movers,301,legacy_city_slug,yes
/apartment-movers,/apartment-movers-orlando-fl,301,consolidate,yes
/quote,/get-my-price,301,funnel_canonical,yes
/get-quote,/get-my-price,301,funnel_canonical,yes
/packing-services,/full-service-moving,301,no_standalone_offer,yes
/movingday-checklist,/move-day-checklist,301,checklist_canonical,pending
/job-size,/move-day-checklist,301,checklist_canonical,pending
/your-move,/move-day-checklist,301,checklist_canonical,pending
/intake,/move-day-checklist,301,checklist_canonical,pending
/casselberry-movers,/central-florida-movers,301,no_page_city,yes
/movers-orlando-lp,/get-my-price?service=full-service&source=meta-legacy,307,legacy_ad,yes
/loading-help,/get-my-price?service=full-service&source=meta-legacy,307,legacy_ad,yes
