url,index,type,bucket,notes,new_url,needs_301
https://toromovers.com,yes,home,A_protect,indexable_sitemap,,no
https://toromovers.com/altamonte-springs-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/apartment-movers-orlando-fl,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/apopka-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/blog,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/apartment-moving-checklist-orlando-renters,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/best-time-to-move-central-florida,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/full-service-vs-labor-only-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/furniture-disassembly-protection-movers-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/hidden-moving-fees-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/how-much-does-a-local-move-cost-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/how-to-choose-a-moving-company-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/how-to-prepare-for-a-local-move-in-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/labor-only-moving-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/moving-into-storage-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/tipping-movers-orlando,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/blog/what-youre-paying-for-orlando-movers,yes,blog,A_protect,indexable_sitemap,,no
https://toromovers.com/central-florida-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/central-florida-moving-checklist,yes,lead_magnet,A_protect,indexable_sitemap,,no
https://toromovers.com/clermont-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/commercial-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/davenport-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/fern-park-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/full-service-moving,yes,service,A_protect,indexable_sitemap,,no
https://toromovers.com/kissimmee-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/labor-only-moving,yes,service,A_protect,indexable_sitemap,,no
https://toromovers.com/lake-mary-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/lakeland-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/loading-unloading,yes,service,A_protect,indexable_sitemap,,no
https://toromovers.com/maitland-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/orlando-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/oviedo-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/residential-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/sanford-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/service-areas,yes,hub,A_protect,indexable_sitemap,,no
https://toromovers.com/st-cloud-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/windermere-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/winter-garden-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/winter-haven-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/winter-park-movers,yes,city,A_protect,indexable_sitemap,,no
https://toromovers.com/get-my-price,no,funnel_noindex,D_conversion,funnel_noindex,,no
https://toromovers.com/es/get-my-price,no,funnel_noindex,D_conversion,funnel_noindex,,no
https://toromovers.com/move-day-checklist,no,checklist_canonical,D_conversion,checklist_canonical,,no
https://toromovers.com/movingday-checklist,no,checklist_alias_merge,C_merge,checklist_alias_merge,/move-day-checklist,yes
https://toromovers.com/job-size,no,checklist_alias,C_merge,checklist_alias,/move-day-checklist,yes
https://toromovers.com/your-move,no,checklist_alias,C_merge,checklist_alias,/move-day-checklist,yes
https://toromovers.com/intake,no,checklist_alias,C_merge,checklist_alias,/move-day-checklist,yes
https://toromovers.com/book,no,book_online,D_conversion,book_online,,no
https://toromovers.com/thank-you,no,conversion,D_conversion,conversion,,no
